detour_distance_km,detour_time_min,pickup_zone_risk,expected_extra_profit,fuel_cost_estimate,hour_of_day,is_raining,driver_historical_acceptance,target_accepted
2.07,6.42,0.31,39.76,4.13,14,0,0.68,1
5.41,10.08,0.38,73.44,10.83,12,0,0.51,1
12.14,12.67,0.37,118.51,24.27,0,0,0.5,1
8.79,12.71,0.32,77.74,17.59,1,0,0.62,1
7.93,15.61,0.06,84.0,15.87,15,0,0.74,1
4.76,6.61,0.08,59.55,9.51,22,0,0.43,1
14.01,15.02,0.4,183.61,28.02,3,1,0.51,1
6.26,13.74,0.41,76.19,12.51,22,0,0.61,1
1.76,2.8,0.26,40.78,3.53,19,0,0.68,1
9.45,9.75,0.25,105.38,18.89,0,0,0.71,1
2.15,5.67,0.07,32.94,4.3,5,0,0.66,1
5.51,6.97,0.13,62.34,11.01,15,0,0.62,1
7.86,11.05,0.37,102.87,15.71,15,0,0.52,1
13.18,17.34,0.23,124.77,26.35,5,0,0.75,1
7.66,14.91,0.4,63.63,15.31,14,0,0.73,1
10.68,22.01,0.33,80.6,21.37,6,1,0.9,1
14.9,19.52,0.28,119.2,29.79,6,0,0.71,1
2.41,5.85,0.12,41.55,4.81,11,0,0.68,1
4.48,7.94,0.23,68.47,8.97,0,0,0.54,1
6.22,15.91,0.24,74.35,12.44,1,0,0.69,1
6.62,25.82,0.27,87.64,13.23,16,0,0.6,1
6.46,6.61,0.19,81.49,12.92,16,0,0.65,1
13.66,23.81,0.33,138.42,27.32,7,0,0.73,1
10.85,11.11,0.56,90.59,21.71,3,0,0.76,1
9.31,26.22,0.18,124.16,18.63,12,0,0.65,1
4.99,7.22,0.69,54.55,9.97,12,0,0.78,1
12.44,31.06,0.39,104.25,24.89,10,1,0.54,0
14.35,17.03,0.15,117.63,28.7,11,1,1.0,1
12.41,14.81,0.14,90.35,24.81,23,0,0.54,1
0.52,1.56,0.55,24.44,1.05,13,0,0.57,1
9.73,10.41,0.07,90.94,19.46,20,0,0.24,1
1.24,3.14,0.22,30.74,2.48,0,0,0.45,1
4.24,5.97,0.23,54.61,8.47,8,0,0.65,1
1.36,1.38,0.27,31.78,2.73,2,0,0.67,1
9.26,10.15,0.4,85.56,18.51,6,0,0.69,1
10.46,10.81,0.15,131.94,20.91,14,0,0.76,1
2.16,4.26,0.21,38.88,4.32,6,0,0.79,1
6.07,18.43,0.32,59.18,12.13,10,0,0.74,1
7.12,18.19,0.32,100.49,14.23,15,0,0.63,1
5.85,9.36,0.48,53.74,11.7,11,0,0.54,1
2.25,2.67,0.1,42.85,4.51,19,1,0.68,1
6.57,18.13,0.38,84.1,13.15,23,1,0.57,1
11.39,15.3,0.24,82.77,22.78,7,0,0.9,1
1.53,3.1,0.34,37.3,3.06,12,0,0.71,1
1.66,3.29,0.18,31.99,3.33,1,0,0.63,1
5.64,7.56,0.41,77.49,11.29,7,1,0.51,1
14.16,23.58,0.16,118.22,28.31,14,0,0.77,1
10.19,11.87,0.38,108.48,20.39,11,0,0.74,1
10.34,28.18,0.37,142.09,20.68,4,0,0.74,1
5.75,6.82,0.2,73.31,11.5,1,0,0.63,1
9.11,30.55,0.64,84.43,18.22,11,1,0.44,0
0.65,1.64,0.37,25.31,1.29,5,0,0.78,1
9.72,13.1,0.16,114.63,19.45,7,0,0.77,1
13.74,15.42,0.3,131.54,27.49,3,0,0.6,1
9.38,21.35,0.16,126.73,18.76,9,0,0.83,1
13.17,26.58,0.36,165.81,26.34,15,0,0.8,1
11.0,16.85,0.42,86.29,22.0,7,0,0.89,1
2.25,5.5,0.15,43.59,4.5,15,0,0.78,1
13.59,15.83,0.06,177.55,27.17,22,0,0.7,1
1.46,1.76,0.05,30.56,2.93,6,0,0.85,1
8.24,22.96,0.53,74.96,16.49,23,0,0.74,1
2.56,4.28,0.3,32.98,5.12,11,0,0.8,1
0.67,0.81,0.3,23.89,1.34,6,1,0.48,1
6.62,13.16,0.22,97.62,13.24,16,0,0.79,1
4.78,6.59,0.16,56.97,9.56,14,0,0.69,1
7.55,26.24,0.07,78.2,15.09,13,0,0.81,1
8.87,12.55,0.55,80.9,17.74,4,0,0.72,1
1.13,3.11,0.12,26.97,2.27,1,0,0.72,1
2.28,2.62,0.34,39.55,4.57,4,0,0.68,1
8.6,16.65,0.35,106.54,17.2,4,0,0.48,1
5.48,11.87,0.21,68.49,10.95,5,0,0.73,1
11.07,12.57,0.14,78.11,22.15,13,0,0.76,1
9.96,34.62,0.33,125.8,19.92,21,0,0.69,1
12.76,23.31,0.18,167.02,25.52,5,0,0.79,1
10.54,19.98,0.12,105.2,21.08,12,1,0.65,1
6.73,14.53,0.14,70.94,13.47,6,0,0.56,1
10.26,10.99,0.2,87.8,20.52,17,0,0.66,1
4.49,5.53,0.07,51.96,8.99,3,0,0.84,1
4.94,16.59,0.03,67.0,9.88,4,0,0.61,1
11.94,15.19,0.05,144.07,23.88,14,0,0.8,1
6.97,10.8,0.27,71.08,13.95,22,0,0.73,1
12.08,13.05,0.03,109.1,24.15,1,0,0.66,1
12.43,25.63,0.04,121.36,24.85,7,0,0.82,1
12.93,19.0,0.47,100.08,25.87,17,0,0.66,1
13.79,22.05,0.14,178.47,27.58,20,0,0.75,1
6.75,10.94,0.26,87.08,13.5,1,0,0.89,1
5.12,8.65,0.44,61.17,10.25,1,0,0.95,1
8.94,22.12,0.16,72.36,17.88,17,1,0.6,1
5.88,7.2,0.43,84.36,11.76,6,0,0.81,1
9.22,15.66,0.27,97.28,18.43,13,0,0.9,1
10.73,11.08,0.34,133.51,21.46,4,0,0.94,1
10.48,23.52,0.5,74.86,20.96,8,1,0.66,1
5.93,7.78,0.19,61.02,11.86,13,0,0.61,1
2.92,3.06,0.37,47.31,5.84,3,0,0.78,1
6.74,9.02,0.02,76.74,13.49,0,0,0.77,1
2.57,2.84,0.04,38.14,5.14,7,0,0.54,1
13.41,15.4,0.36,105.91,26.81,21,0,0.79,1
5.52,10.6,0.2,59.23,11.03,14,0,0.83,1
2.74,3.91,0.28,47.93,5.48,18,0,0.75,1
0.87,2.37,0.12,25.46,1.74,9,0,0.73,1
9.86,15.14,0.35,110.33,19.73,22,0,0.6,1
9.74,23.02,0.52,97.55,19.47,16,0,0.51,1
5.44,6.73,0.24,76.24,10.88,1,0,0.72,1
1.54,2.38,0.28,29.87,3.08,4,0,0.72,1
6.44,11.53,0.28,64.37,12.88,14,0,0.46,1
5.01,11.1,0.13,59.05,10.03,9,0,0.76,1
10.32,10.33,0.21,83.62,20.64,17,1,0.83,1
9.28,30.56,0.07,96.39,18.57,23,0,0.75,1
5.79,20.47,0.63,65.79,11.57,12,0,0.82,1
3.66,8.86,0.37,63.66,7.32,20,0,0.71,1
14.83,15.16,0.35,155.77,29.65,13,0,0.66,1
7.08,7.2,0.28,58.86,14.17,2,1,0.88,1
10.48,14.14,0.67,106.14,20.96,5,0,0.79,1
2.54,2.79,0.03,48.3,5.08,19,0,0.56,1
7.54,18.37,0.09,103.46,15.08,22,0,0.54,1
0.9,0.92,0.45,30.55,1.8,22,0,0.89,1
7.83,21.92,0.49,108.15,15.66,20,0,0.6,1
14.48,44.43,0.23,110.26,28.96,11,0,0.64,0
6.07,18.17,0.57,50.51,12.14,4,0,0.67,1
1.07,1.57,0.34,29.92,2.13,19,0,0.97,1
0.95,1.14,0.69,29.41,1.9,8,1,0.41,1
6.13,11.67,0.44,56.26,12.25,6,0,0.75,1
2.82,2.87,0.33,37.4,5.64,21,0,0.93,1
0.84,1.46,0.22,29.85,1.68,18,0,0.82,1
11.47,31.6,0.42,153.07,22.93,4,0,0.75,1
7.15,11.92,0.09,63.6,14.3,3,0,0.57,1
4.69,6.18,0.16,51.59,9.39,20,0,0.66,1
13.55,15.5,0.24,172.38,27.1,17,0,0.72,1
2.18,3.68,0.5,37.57,4.37,4,0,0.67,1
14.36,20.66,0.36,172.03,28.72,6,0,0.82,1
5.05,11.22,0.42,59.27,10.11,12,0,0.99,1
13.38,18.22,0.43,155.89,26.76,15,0,0.73,1
9.24,9.34,0.49,91.89,18.49,10,0,0.8,1
12.49,43.54,0.29,161.03,24.97,2,0,0.69,1
14.77,16.14,0.37,127.5,29.54,3,0,0.61,1
4.68,6.97,0.34,60.55,9.36,16,1,0.78,1
14.44,32.88,0.49,144.91,28.87,8,0,0.51,1
6.15,6.36,0.24,78.66,12.29,18,0,0.78,1
6.09,9.94,0.17,63.52,12.18,12,0,0.53,1
5.44,10.9,0.06,71.63,10.87,11,0,0.83,1
8.35,21.63,0.24,70.0,16.7,21,0,0.52,1
2.74,6.31,0.17,50.78,5.47,16,0,0.8,1
8.53,9.75,0.28,71.25,17.06,12,0,0.95,1
8.35,11.75,0.07,110.92,16.71,20,0,0.64,1
11.55,12.35,0.06,133.77,23.1,10,0,0.62,1
12.59,29.69,0.12,112.99,25.18,9,0,0.68,1
6.89,20.2,0.61,70.22,13.77,20,0,0.79,1
4.88,19.18,0.21,77.45,9.77,4,0,0.46,1
4.26,6.75,0.28,47.12,8.52,16,0,0.64,1
3.32,3.33,0.48,53.42,6.64,22,0,0.89,1
1.34,1.73,0.3,28.4,2.67,20,0,0.71,1
5.47,11.36,0.29,81.97,10.93,0,0,0.61,1
4.42,4.87,0.13,65.04,8.84,15,0,0.64,1
14.51,17.35,0.54,187.32,29.03,7,0,0.82,1
8.59,32.83,0.17,115.77,17.17,21,0,0.86,1
5.54,6.42,0.16,68.97,11.07,22,0,0.78,1
8.92,18.76,0.34,74.09,17.83,19,0,0.8,1
2.52,6.95,0.41,36.5,5.04,16,1,0.53,1
6.94,16.53,0.23,64.5,13.88,7,0,0.66,1
9.58,15.93,0.13,82.7,19.16,13,1,0.8,1
7.59,13.35,0.17,83.25,15.18,16,0,0.76,1
6.33,13.56,0.24,90.06,12.65,8,0,0.71,1
14.91,39.33,0.33,96.97,29.82,5,0,0.52,0
13.26,16.14,0.16,108.47,26.53,20,0,0.73,1
9.54,9.61,0.84,107.55,19.08,1,0,0.39,1
8.76,10.51,0.58,116.82,17.51,23,0,0.69,1
9.5,20.13,0.26,87.28,19.0,18,0,0.66,1
3.42,7.89,0.13,46.25,6.84,12,0,0.52,1
6.23,15.07,0.11,67.43,12.46,9,0,0.69,1
1.07,3.04,0.58,27.57,2.14,23,0,0.52,1
7.4,11.15,0.37,93.15,14.79,9,1,0.65,1
8.37,11.89,0.07,100.31,16.75,14,0,0.46,1
3.8,4.88,0.41,61.46,7.6,4,0,0.92,1
14.48,19.05,0.11,185.39,28.96,19,1,0.35,1
13.69,29.17,0.15,174.71,27.37,6,0,0.76,1
10.97,22.04,0.39,116.34,21.94,12,0,0.42,1
8.23,10.82,0.22,71.87,16.47,19,0,0.69,1
13.11,25.61,0.55,105.97,26.23,20,0,0.78,1
2.39,5.85,0.43,41.87,4.79,10,1,0.71,1
11.96,22.54,0.3,156.72,23.92,20,0,0.67,1
2.31,5.09,0.07,40.13,4.62,1,0,0.54,1
12.02,38.0,0.22,158.79,24.03,20,0,0.61,0
4.5,5.16,0.14,50.75,9.0,14,1,0.77,1
13.22,14.85,0.22,94.08,26.44,14,0,0.59,1
14.19,34.2,0.41,170.03,28.38,18,1,0.94,1
2.66,8.9,0.28,49.65,5.32,4,0,0.77,1
7.21,8.96,0.18,78.65,14.42,16,0,1.0,1
14.72,36.03,0.19,104.18,29.45,7,1,0.53,0
7.51,13.78,0.12,59.77,15.02,15,0,0.29,1
13.02,43.68,0.15,90.81,26.04,14,0,0.67,0
9.04,21.53,0.31,92.96,18.07,23,0,0.53,1
5.94,7.03,0.4,59.48,11.88,17,0,0.76,1
4.64,5.44,0.17,58.24,9.29,17,0,0.74,1
3.45,8.5,0.39,49.02,6.89,14,0,0.87,1
11.55,23.0,0.25,114.75,23.09,9,1,0.76,1
6.1,17.41,0.51,77.02,12.21,4,0,0.47,1
7.91,25.89,0.35,97.2,15.83,21,0,0.71,1
7.64,7.68,0.3,79.37,15.28,15,0,0.84,1
8.87,11.96,0.34,85.28,17.74,20,0,0.86,1
13.05,19.88,0.41,118.91,26.1,11,0,0.7,1
14.72,17.86,0.19,100.84,29.44,16,0,0.66,1
6.41,7.28,0.59,66.48,12.82,11,0,0.96,1
12.5,14.62,0.13,99.99,25.0,0,1,0.65,1
11.59,44.15,0.34,101.52,23.17,10,1,0.83,0
8.82,22.6,0.35,108.17,17.63,7,1,0.89,1
14.36,19.38,0.42,191.2,28.73,4,0,0.89,1
3.41,6.41,0.09,59.06,6.81,7,1,0.86,1
2.08,2.11,0.67,42.41,4.17,10,0,0.8,1
12.88,17.2,0.15,150.89,25.76,10,0,0.68,1
6.87,7.1,0.38,99.77,13.74,13,0,0.82,1
12.78,31.87,0.33,151.19,25.56,13,1,0.66,1
13.45,14.98,0.41,131.59,26.9,18,0,0.86,1
1.41,2.86,0.25,32.95,2.81,10,0,0.51,1
13.31,13.42,0.08,115.04,26.62,20,0,0.7,1
7.0,19.01,0.41,55.17,14.0,1,0,0.6,1
7.9,12.4,0.27,79.06,15.8,7,1,0.44,1
9.59,11.35,0.3,95.09,19.17,10,0,0.58,1
13.93,24.25,0.05,161.16,27.87,0,0,0.42,1
0.78,1.29,0.65,28.56,1.55,4,0,0.62,1
7.41,7.49,0.12,107.03,14.83,22,1,0.73,1
10.47,18.4,0.15,98.15,20.94,20,0,0.86,1
10.98,15.62,0.3,148.48,21.96,14,0,0.63,1
10.54,36.24,0.35,131.7,21.08,18,0,0.42,1
2.45,2.78,0.44,32.78,4.9,15,1,0.66,1
4.84,6.58,0.11,64.38,9.68,3,0,0.85,1
5.7,10.31,0.67,63.1,11.4,11,0,0.42,1
12.16,46.41,0.21,83.72,24.33,4,0,0.58,0
4.54,6.55,0.38,59.61,9.08,18,0,0.67,1
3.56,13.7,0.19,52.33,7.11,10,0,0.45,1
14.38,57.32,0.54,117.31,28.77,6,0,0.59,0
0.63,0.88,0.18,27.28,1.26,5,1,0.91,1
14.97,38.21,0.22,158.8,29.94,12,0,0.8,1
10.31,26.18,0.46,84.27,20.63,14,0,0.53,1
12.51,16.91,0.51,145.74,25.03,2,0,0.82,1
4.77,16.44,0.39,60.53,9.54,2,0,0.74,1
0.71,1.46,0.27,25.88,1.42,3,0,0.96,1
11.2,30.93,0.27,141.42,22.4,9,1,0.71,1
12.6,18.38,0.47,95.16,25.19,18,0,0.57,1
11.24,15.06,0.51,114.8,22.47,5,0,0.51,1
2.57,3.25,0.15,46.91,5.14,0,1,0.75,1
11.42,25.88,0.06,129.94,22.85,0,1,0.69,1
11.65,36.76,0.09,78.69,23.3,6,1,0.77,0
10.05,32.52,0.49,125.63,20.1,15,1,0.59,0
11.61,20.38,0.26,154.81,23.22,23,0,0.8,1
12.77,13.31,0.19,146.8,25.53,3,1,0.88,1
9.4,22.74,0.17,124.6,18.79,15,0,0.73,1
1.78,4.03,0.6,33.43,3.57,6,0,0.85,1
7.57,23.25,0.51,76.43,15.14,17,1,0.74,1
1.63,2.31,0.29,31.78,3.25,14,0,0.73,1
6.41,8.43,0.41,85.02,12.82,8,1,0.62,1
6.4,8.74,0.36,94.24,12.81,10,0,0.88,1
1.46,1.63,0.2,36.32,2.91,6,0,0.61,1
5.56,9.04,0.35,53.63,11.12,20,0,0.73,1
2.11,6.01,0.24,39.79,4.22,6,0,0.56,1
12.22,26.16,0.51,166.29,24.44,22,0,0.83,1
14.24,19.07,0.3,120.65,28.48,2,1,0.67,1
1.55,2.18,0.36,34.62,3.1,6,0,0.78,1
14.35,22.14,0.25,182.81,28.7,2,1,0.51,1
8.08,10.6,0.31,111.25,16.15,11,0,0.56,1
4.84,6.65,0.41,55.12,9.69,2,1,0.58,1
1.61,1.77,0.3,29.13,3.23,6,0,0.74,1
7.76,11.25,0.46,93.88,15.52,22,0,0.72,1
12.02,14.41,0.4,159.78,24.04,5,0,0.66,1
10.75,24.63,0.35,112.0,21.51,14,0,0.59,1
1.23,1.62,0.28,30.08,2.46,22,0,0.5,1
1.56,1.68,0.33,37.2,3.11,9,1,0.79,1
6.34,11.76,0.39,70.56,12.68,4,1,0.55,1
4.78,5.73,0.13,66.7,9.56,8,0,0.76,1
3.87,4.88,0.2,49.88,7.74,16,0,0.47,1
4.57,15.53,0.09,54.95,9.15,20,0,0.71,1
12.15,17.71,0.35,96.73,24.3,18,0,0.89,1
13.97,40.2,0.21,98.52,27.95,23,0,0.76,0
6.37,6.53,0.15,91.36,12.75,22,1,0.71,1
13.64,15.89,0.25,105.49,27.28,16,0,0.85,1
5.16,15.53,0.11,48.06,10.32,8,0,0.61,1
7.41,21.71,0.1,87.24,14.82,20,0,0.59,1
3.78,5.43,0.18,53.32,7.55,16,0,0.75,1
9.79,19.24,0.17,107.83,19.57,0,0,0.64,1
14.7,53.21,0.33,141.63,29.39,7,1,0.59,0
9.25,14.1,0.08,75.44,18.5,18,0,0.5,1
5.69,10.52,0.28,49.27,11.38,8,0,0.54,1
9.89,30.37,0.07,72.68,19.79,7,0,0.83,1
2.28,2.68,0.51,46.48,4.56,5,0,0.82,1
13.39,14.3,0.18,136.76,26.77,14,0,1.0,1
7.79,9.54,0.19,80.78,15.59,14,0,0.86,1
7.02,8.09,0.49,75.25,14.03,5,0,0.75,1
9.0,21.81,0.09,106.04,17.99,20,0,0.84,1
9.56,21.35,0.35,93.0,19.12,14,0,0.54,1
1.54,3.79,0.56,36.29,3.08,17,0,0.78,1
10.4,12.62,0.25,90.91,20.8,21,0,0.68,1
4.01,4.17,0.14,50.34,8.02,23,0,1.0,1
10.85,13.78,0.11,145.29,21.7,5,0,0.88,1
12.43,13.64,0.33,104.78,24.85,22,0,0.84,1
12.16,16.68,0.24,137.09,24.31,17,0,0.56,1
8.51,15.74,0.03,84.28,17.02,17,0,1.0,1
8.04,14.13,0.29,86.74,16.08,18,0,0.67,1
2.57,8.39,0.3,33.67,5.14,22,0,0.61,1
11.74,42.92,0.17,92.46,23.49,23,0,0.84,0
4.44,5.75,0.42,45.34,8.87,19,0,0.48,1
7.7,13.31,0.02,104.05,15.4,12,1,0.56,1
4.62,6.96,0.35,74.22,9.24,10,0,0.58,1
2.44,3.65,0.43,33.36,4.88,14,0,0.74,1
9.63,21.02,0.49,73.32,19.26,5,0,0.75,1
1.29,2.12,0.35,31.42,2.58,22,0,0.61,1
11.36,18.83,0.21,116.84,22.71,10,0,0.66,1
5.11,9.43,0.28,68.77,10.21,3,0,0.24,1
0.5,0.58,0.13,25.1,1.0,14,0,0.68,1
7.91,13.45,0.18,103.71,15.82,15,0,0.72,1
1.18,1.68,0.19,27.13,2.36,23,0,0.86,1
4.5,4.89,0.34,43.72,9.01,13,0,0.7,1
10.75,11.95,0.05,140.67,21.5,23,0,0.8,1
1.41,1.54,0.3,31.68,2.82,22,0,0.66,1
12.67,28.0,0.17,169.49,25.34,4,0,1.0,1
0.56,2.01,0.53,24.85,1.11,14,0,0.71,1
4.08,9.15,0.34,54.96,8.16,9,0,0.71,1
11.24,24.49,0.07,125.25,22.49,5,0,0.56,1
5.09,5.46,0.33,51.49,10.17,15,0,0.84,1
1.98,2.68,0.44,33.4,3.95,15,1,0.76,1
5.72,18.39,0.31,84.91,11.45,18,0,0.88,1
4.42,12.58,0.2,48.67,8.84,2,0,0.63,1
12.72,34.68,0.33,104.34,25.44,19,1,0.73,0
5.04,6.98,0.42,63.22,10.09,17,0,0.93,1
11.94,14.9,0.72,133.28,23.88,21,0,1.0,1
13.43,15.01,0.5,87.25,26.86,18,0,0.87,1
6.79,7.11,0.39,75.66,13.58,1,0,0.8,1
13.69,34.13,0.29,126.72,27.39,8,0,0.53,1
5.97,12.38,0.09,86.04,11.94,0,0,0.65,1
14.48,33.65,0.33,177.5,28.96,3,0,0.38,1
1.79,3.46,0.2,40.35,3.59,20,0,0.79,1
10.46,11.18,0.48,133.97,20.92,21,0,0.68,1
7.66,11.24,0.15,100.49,15.32,3,0,0.8,1
6.12,7.62,0.31,87.41,12.24,5,0,0.66,1
9.67,15.66,0.53,80.21,19.35,22,0,0.58,1
10.71,39.41,0.3,99.07,21.41,5,0,0.63,0
0.56,1.89,0.46,25.51,1.13,21,1,0.93,1
2.92,4.47,0.4,53.48,5.84,18,0,0.9,1
10.84,13.74,0.69,124.8,21.68,7,0,0.7,1
10.16,24.7,0.23,85.61,20.33,7,0,0.93,1
14.51,18.33,0.09,188.47,29.02,19,1,0.86,1
11.54,13.44,0.1,139.07,23.07,23,0,0.63,1
14.29,25.56,0.08,163.09,28.57,12,0,0.6,1
10.69,13.2,0.2,130.48,21.37,8,0,0.56,1
4.82,8.72,0.32,66.36,9.64,20,0,0.67,1
2.03,2.67,0.34,30.45,4.06,18,0,0.82,1
11.84,14.38,0.32,100.2,23.67,6,0,0.62,1
9.84,9.9,0.25,135.09,19.68,19,0,0.56,1
1.2,2.35,0.72,28.42,2.4,7,0,0.93,1
5.72,10.25,0.31,79.5,11.44,10,0,0.78,1
14.37,38.41,0.42,134.58,28.75,2,0,0.69,1
7.76,19.24,0.2,108.05,15.51,16,1,0.37,1
6.77,8.8,0.35,80.32,13.55,4,0,0.82,1
7.14,7.61,0.15,87.25,14.27,5,1,0.51,1
3.53,6.46,0.05,43.56,7.06,14,0,0.73,1
5.85,15.19,0.25,51.59,11.69,8,0,0.82,1
5.86,12.64,0.18,80.36,11.72,18,0,0.87,1
1.26,2.13,0.23,26.89,2.52,5,0,0.56,1
11.63,24.85,0.22,136.91,23.26,7,1,0.86,1
6.54,15.38,0.11,78.12,13.08,11,0,0.72,1
12.42,15.49,0.14,153.41,24.84,15,0,0.76,1
12.83,50.14,0.13,102.63,25.66,19,0,0.52,0
3.57,5.46,0.23,51.42,7.15,21,0,0.46,1
10.03,11.87,0.01,113.29,20.06,2,0,0.99,1
7.35,16.34,0.16,60.56,14.7,15,0,0.95,1
13.26,18.88,0.31,154.91,26.52,14,0,0.41,1
3.63,4.83,0.39,48.02,7.26,10,0,0.83,1
10.33,13.93,0.2,80.96,20.66,5,0,0.63,1
9.31,15.94,0.26,91.79,18.62,1,0,0.85,1
4.78,9.38,0.33,47.2,9.56,22,0,0.47,1
2.48,2.83,0.42,47.82,4.96,6,0,0.67,1
9.95,12.15,0.06,101.55,19.9,15,1,0.77,1
11.21,22.83,0.19,86.88,22.42,0,0,0.43,1
5.08,15.51,0.31,54.34,10.15,12,0,0.5,1
9.85,32.42,0.23,119.22,19.7,3,1,0.65,1
6.23,19.42,0.11,85.42,12.46,0,0,0.51,1
10.84,15.78,0.25,77.34,21.68,21,0,0.69,1
3.39,11.74,0.39,38.36,6.78,4,1,0.67,1
13.41,26.67,0.74,173.12,26.82,15,0,0.77,1
4.67,5.73,0.47,54.15,9.33,18,0,0.79,1
5.83,12.39,0.32,57.06,11.67,11,0,0.62,1
1.34,1.63,0.26,27.87,2.68,8,0,0.83,1
2.12,2.62,0.45,37.64,4.23,5,0,0.52,1
7.98,18.37,0.25,102.97,15.96,21,1,0.56,1
4.38,5.5,0.41,57.88,8.76,8,1,0.33,1
12.61,15.56,0.15,84.9,25.23,1,0,0.67,1
0.71,1.3,0.13,25.98,1.43,0,0,0.9,1
6.0,14.7,0.24,63.07,11.99,9,0,0.7,1
5.39,8.41,0.08,72.73,10.78,2,0,0.56,1
0.78,0.83,0.2,26.76,1.56,23,1,0.38,1
2.3,3.16,0.28,47.08,4.61,17,0,0.42,1
6.5,17.11,0.29,79.7,13.0,23,0,0.63,1
7.65,10.03,0.27,92.09,15.29,11,0,0.64,1
6.36,11.15,0.02,74.98,12.72,14,0,0.78,1
8.2,11.82,0.25,78.84,16.4,13,0,0.9,1
9.13,11.4,0.59,105.95,18.26,9,1,0.75,1
0.64,1.01,0.36,24.72,1.29,5,0,0.61,1
7.23,8.4,0.09,92.45,14.46,19,0,0.79,1
14.47,18.28,0.66,116.35,28.94,19,0,0.78,1
8.03,11.28,0.22,80.79,16.05,11,1,0.86,1
10.32,28.43,0.39,113.8,20.65,22,0,0.57,1
5.02,5.73,0.28,67.2,10.04,22,0,0.78,1
11.72,12.31,0.26,133.48,23.45,8,0,0.79,1
11.71,33.19,0.12,135.93,23.41,3,1,0.67,1
8.06,13.08,0.1,78.25,16.12,3,0,0.5,1
14.65,32.99,0.14,184.81,29.3,1,0,0.71,1
2.32,2.84,0.14,32.09,4.64,6,0,0.59,1
0.75,0.94,0.2,24.71,1.49,10,0,0.83,1
11.67,32.8,0.21,84.06,23.33,15,0,0.68,0
12.2,13.44,0.53,138.39,24.41,9,1,0.7,1
2.24,5.81,0.52,35.51,4.49,14,0,0.64,1
4.35,5.13,0.31,47.82,8.7,1,0,0.66,1
0.75,1.27,0.6,26.31,1.51,11,0,0.96,1
4.75,9.58,0.6,64.36,9.51,21,0,0.79,1
11.71,31.76,0.21,129.31,23.42,21,0,0.49,1
8.01,21.32,0.14,91.31,16.02,14,0,0.69,1
5.55,7.43,0.39,86.26,11.09,10,0,0.49,1
5.89,8.89,0.22,84.92,11.78,9,1,0.95,1
0.52,1.52,0.47,23.47,1.04,2,1,0.9,1
4.85,14.49,0.31,69.98,9.69,7,0,0.95,1
9.87,32.45,0.37,108.72,19.75,20,0,0.43,1
14.63,18.11,0.52,100.35,29.25,19,0,0.53,1
12.78,16.31,0.29,88.35,25.56,19,1,0.57,1
0.84,2.87,0.19,28.92,1.68,4,0,0.55,1
13.53,20.19,0.29,139.26,27.06,10,0,0.55,1
11.86,37.82,0.1,126.7,23.71,11,0,0.57,1
11.82,12.73,0.3,106.89,23.63,19,0,0.66,1
7.14,7.68,0.34,102.21,14.28,10,0,0.76,1
6.27,8.11,0.19,82.67,12.54,5,0,0.79,1
4.89,5.18,0.37,76.23,9.78,7,0,0.86,1
1.45,1.69,0.18,28.27,2.91,12,0,0.75,1
3.81,4.37,0.44,54.61,7.62,14,0,0.75,1
4.08,6.02,0.48,58.57,8.15,1,0,0.89,1
7.52,15.68,0.65,64.23,15.04,22,0,0.82,1
11.34,27.43,0.28,104.17,22.68,5,0,0.75,1
7.37,14.88,0.22,67.93,14.74,19,0,0.42,1
1.34,1.86,0.61,35.92,2.68,1,0,0.93,1
14.39,37.91,0.27,146.67,28.78,14,0,0.44,1
14.17,31.91,0.25,122.12,28.34,0,0,0.59,1
11.89,19.77,0.19,134.71,23.77,10,0,0.35,1
14.87,35.02,0.62,163.04,29.75,7,1,0.98,1
8.39,12.14,0.46,82.39,16.79,23,0,0.61,1
14.46,15.34,0.45,192.91,28.92,8,0,0.71,1
1.6,1.97,0.7,37.02,3.19,14,0,0.44,1
5.8,7.74,0.27,65.27,11.6,4,0,0.73,1
3.77,5.48,0.6,56.25,7.54,8,0,0.87,1
3.34,5.42,0.49,53.31,6.68,3,0,0.57,1
2.54,6.52,0.24,35.8,5.08,9,0,0.7,1
9.52,10.34,0.33,126.18,19.05,3,0,0.75,1
11.83,27.11,0.65,147.55,23.66,4,0,0.52,1
8.89,27.9,0.19,111.43,17.77,18,0,0.82,1
2.63,3.24,0.47,37.26,5.26,20,0,0.56,1
12.26,32.12,0.1,93.0,24.52,12,0,0.72,1
9.72,18.38,0.62,80.89,19.44,20,0,0.68,1
6.13,22.6,0.19,54.63,12.26,10,0,0.88,1
10.27,29.12,0.25,139.0,20.55,11,0,0.73,1
4.27,11.24,0.24,66.79,8.54,13,0,0.36,1
5.51,18.93,0.13,51.02,11.01,12,0,0.71,1
13.8,18.59,0.33,154.53,27.61,3,0,0.72,1
4.71,5.37,0.36,51.66,9.42,12,1,0.77,1
7.31,13.8,0.09,57.46,14.63,4,0,0.61,1
13.41,14.8,0.3,114.48,26.81,20,1,0.47,1
10.76,26.25,0.22,106.96,21.52,8,1,0.46,1
1.4,2.84,0.3,27.21,2.8,0,0,0.66,1
2.64,7.26,0.58,39.15,5.27,11,0,0.94,1
0.61,0.86,0.38,26.08,1.23,22,0,0.69,1
